learning_rate,dimension,x_inicial,y_inicial,x_final,y_final,valor_minimo,iteraciones,convergido
0.001,1D,-2.0,NaN,-0.3502580686891125,NaN,16.224229126816503,200,False
0.01,1D,-2.0,NaN,2.9120602669713924,NaN,5.0077333966451425,200,False
0.1,1D,-2.0,NaN,2.999995096014269,NaN,5.000000000024049,200,True
0.5,1D,-2.0,NaN,3.0,NaN,5.0,200,True
0.9,1D,-2.0,NaN,2.9999994734385416,NaN,5.000000000000277,200,True
1.0,1D,-2.0,NaN,-2.0,NaN,30.0,200,False
1.5,1D,-2.0,NaN,-8.034690221294951e+60,NaN,6.4556246952172715e+121,200,False
0.001,2D,-1.0,4.0,-0.010154841213468286,3.010154841213468,8.081444971307889,200,False
0.01,2D,-1.0,4.0,1.947236160182835,1.052763839817165,0.005568045584503523,200,False
0.1,2D,-1.0,4.0,1.999999684063125,1.000000315936875,1.9895196601282805e-13,200,True
0.5,2D,-1.0,4.0,2.0,1.0,0.0,200,True
0.001,2D,5.0,-1.0,4.010154841213467,-0.34010322747564575,5.836599145944581,200,False
0.01,2D,5.0,-1.0,2.0527638398171644,0.9648241067885569,0.004021366255474668,200,False
0.1,2D,5.0,-1.0,2.000000394921094,0.9999997367192708,2.255973186038318e-13,200,True
0.5,2D,5.0,-1.0,2.0,1.0,0.0,200,True
0.001,2D,0.0,0.0,0.6598967725243547,0.3299483862621774,2.244845825363301,200,False
0.01,2D,0.0,0.0,1.9648241067885572,0.9824120533942786,0.0015466793290279668,200,False
0.1,2D,0.0,0.0,1.9999995886238606,0.9999997943119303,2.113864638886298e-13,200,True
0.5,2D,0.0,0.0,2.0,1.0,0.0,200,True
